company,name,address,city,latitude,longitude,phone,services,station_id,gps_coordinates,image_url,source_url,combined_at
Azpetrol,Spartak,"Bakı şəhəri, Nəsimi rayonu, Moskva prospekti, ev 1013-cü məhəllə, AZ 1102",Bakı,40.38916,49.82626,(012) 436-95-37,Avtomarket; Avtotəmir; Avtoyağlama; Avtoyuma; Azpetrol kartlarına xidmət; Bank kartlarına xidmət; Bankomat; Elektromobillərin doldurma xidməti; Kafe; YDM; Ödəmə terminalları,277,,https://qnela1.azpetrol.com/uploads/image_b5a62a48cb.jpg,https://www.azpetrol.com/service-network,2025-12-17T14:50:24.060447
Azpetrol,Ələt,"Bakı şəhəri, Qaradağ rayonu, Salyan şossesi 66-cı km, AZ 1023",Bakı,40.01013,49.42674,(050) 218-57-79,Avtomarket; Azpetrol kartlarına xidmət; Bank kartlarına xidmət; Bankomat; Elektromobillərin doldurma xidməti; Kafe; YDM; Ödəmə terminalları,280,,https://qnela1.azpetrol.com/uploads/image_490683abf7.jpg,https://www.azpetrol.com/service-network,2025-12-17T14:50:24.060447
Azpetrol,Cəlilabad,"Cəlilabad rayonu, Alar kəndi, AZ 1512",Cəlilabad,39.3709,48.5376,(050) 221-19-47,Avtoyuma; Azpetrol kartlarına xidmət; Bank kartlarına xidmət; Kafe; YDM,283,,https://qnela1.azpetrol.com/uploads/image_ecdac88892.jpg,https://www.azpetrol.com/service-network,2025-12-17T14:50:24.060447
Azpetrol,Karl Marks pr.,"Bakı şəhəri, Binəqədi rayonu, Ziya Bünyadov prospekti, ev 3023-cü məhəllə, AZ 1069",Bakı,40.41113,49.83437,(012) 561-22-59,Avtomarket; Avtotəmir; Avtoyağlama; Azpetrol kartlarına xidmət; Bank kartlarına xidmət; Bankomat; Elektromobillərin doldurma xidməti; Kafe; YDM; Ödəmə terminalları,286,,https://qnela1.azpetrol.com/uploads/image_3e2186521a.jpg,https://www.azpetrol.com/service-network,2025-12-17T14:50:24.060447
Azpetrol,Sumqayıt-1,"Sumqayıt şəhəri, Bakı-Quba yolu 30-cu kilometr, AZ 5000",Sumqayıt,40.56755,49.63195,(051) 970-34-20,Avtomarket; Azpetrol kartlarına xidmət; Bank kartlarına xidmət; Bankomat; Elektromobillərin doldurma xidməti; Kafe; YDM; Ödəmə terminalları,289,,https://qnela1.azpetrol.com/uploads/image_dd3c6d2cbc.jpg,https://www.azpetrol.com/service-network,2025-12-17T14:50:24.060447
Azpetrol,Qələbə,"Bakı şəhəri, Yasamal rayonu, Həsənbəy Zərdabi 593, AZ 1141",Bakı,40.38905,49.80791,(012) 434-63-11,Avtoyuma; Azpetrol kartlarına xidmət; Bank kartlarına xidmət; Bankomat; Elektromobillərin doldurma xidməti; Kafe; YDM; Ödəmə terminalları,292,,https://qnela1.azpetrol.com/uploads/image_9be7df51d4.jpg,https://www.azpetrol.com/service-network,2025-12-17T14:50:24.060447
Azpetrol,Gənclik,"Bakı şəh., Nərimanov rayonu, Vaqif küçəsi 881-884",Bakı,40.39938,49.84848,(012) 441-01-98/90,Avtomarket; Avtotəmir; Avtoyağlama; Avtoyuma; Azpetrol kartlarına xidmət; Bank kartlarına xidmət; Bankomat; Elektromobillərin doldurma xidməti; Kafe; YDM; Ödəmə terminalları,295,,https://qnela1.azpetrol.com/uploads/image_b877a8543c.jpg,https://www.azpetrol.com/service-network,2025-12-17T14:50:24.060447
Azpetrol,Sumqayıt-2,"Sumqayıt şəhəri, 5-ci mikrorayon",Sumqayıt,40.57924,49.68399,(050) 780-05-26,Avtomarket; Avtoyağlama; Avtoyuma; Azpetrol kartlarına xidmət; Bank kartlarına xidmət; Kafe; YDM; Ödəmə terminalları,298,,https://qnela1.azpetrol.com/uploads/image_8d553f142a.jpg,https://www.azpetrol.com/service-network,2025-12-17T14:50:24.060447
Azpetrol,Kürdəmir,"Kürdəmir rayonu, Kürdəmir şəhəri, Bakı prospekti, AZ 3300",Kürdəmir,40.33595,48.15299,(020) 255-51-32,Avtoyuma; Azpetrol kartlarına xidmət; Bank kartlarına xidmət; Kafe; YDM,301,,https://qnela1.azpetrol.com/uploads/image_a1bddf8770.jpg,https://www.azpetrol.com/service-network,2025-12-17T14:50:24.060447
Azpetrol,Göyçay,"Göyçay rayonu, Göyçay şəhəri, Natəvan küçəsi, AZ 2300",Göyçay,40.63625,47.75073,(020) 274-89-77,Avtoyuma; Azpetrol kartlarına xidmət; Bank kartlarına xidmət; Kafe; YDM; Ödəmə terminalları,304,,https://qnela1.azpetrol.com/uploads/image_0389c05b56.jpg,https://www.azpetrol.com/service-network,2025-12-17T14:50:24.060447
Azpetrol,Yevlax,"Yevlax rayonu, Yevlax şəhəri, Heydər Əliyev prospekti 98, AZ 6600",Yevlax,40.59893,47.14556,(022) 336-30-39,Avtoyuma; Azpetrol kartlarına xidmət; Bank kartlarına xidmət; Kafe; YDM; Ödəmə terminalları,307,,https://qnela1.azpetrol.com/uploads/image_be5cbf3513.jpg,https://www.azpetrol.com/service-network,2025-12-17T14:50:24.060447
Azpetrol,Ucar,"Ucar rayonu, Ucar şəhəri Bakı-Gürcüstan yolu, AZ 6100",Ucar,40.49465,47.66069,(020) 212-50-84,Avtoyuma; Azpetrol kartlarına xidmət; Bank kartlarına xidmət; Bankomat; Kafe; YDM,310,,https://qnela1.azpetrol.com/uploads/image_18be28e548.jpg,https://www.azpetrol.com/service-network,2025-12-17T14:50:24.060447
Azpetrol,Ramal,"Bakı şəhəri, Səbail rayonu, Salyan şossesi, AZ 1003",Bakı,40.33748,49.82809,(012) 497-46-73,Avtomarket; Avtoyağlama; Avtoyuma; Azpetrol kartlarına xidmət; Bank kartlarına xidmət; Bankomat; Kafe; YDM; Ödəmə terminalları,313,,https://qnela1.azpetrol.com/uploads/image_b05dc483ab.jpg,https://www.azpetrol.com/service-network,2025-12-17T14:50:24.060447
Azpetrol,Şamaxı,"Şamaxı rayonu, Şamaxı şəhəri, məhəllə 44, Bakı-Qazax şossesi, AZ 5600",Şamaxı,40.63234,48.62951,(020) 265-15-09,Avtoyuma; Azpetrol kartlarına xidmət; Bank kartlarına xidmət; Kafe; YDM; Ödəmə terminalları,316,,https://qnela1.azpetrol.com/uploads/image_871981f8ce.jpg,https://www.azpetrol.com/service-network,2025-12-17T14:50:24.060447
Azpetrol,Tovuz,"Tovuz rayonu, Düz Cırdaxan kəndi, AZ 6018",Tovuz,41.0131,45.61496,(050) 255-06-86,Avtoyuma; Azpetrol kartlarına xidmət; Bank kartlarına xidmət; Kafe; YDM; Ödəmə terminalları,319,,https://qnela1.azpetrol.com/uploads/image_cd4f5a2d71.jpg,https://www.azpetrol.com/service-network,2025-12-17T14:50:24.060447
Azpetrol,Qazax,"Qazax rayonu, Qazax şəhəri, Bakı-Qazax şossesinin sağ kənarı, AZ 3500",Qazax,41.10901,45.3434,(+99422) 296-52-11; (+99422) 296-52-06 (motel),Avtoyuma; Azpetrol kartlarına xidmət; Bank kartlarına xidmət; Kafe; Motel; Tir-Park; YDM; Ödəmə terminalları,322,,https://qnela1.azpetrol.com/uploads/image_e149b62c30.jpg,https://www.azpetrol.com/service-network,2025-12-17T14:50:24.060447
Azpetrol,Xaçmaz,"Xaçmaz rayonu, Xaçmaz şəhəri, Bakı prospekti, AZ 2700",Xaçmaz,41.44953,48.79286,(023) 325-56-86,Avtoyuma; Azpetrol kartlarına xidmət; Bank kartlarına xidmət; Kafe; YDM,325,,https://qnela1.azpetrol.com/uploads/image_e3963a3242.jpg,https://www.azpetrol.com/service-network,2025-12-17T14:50:24.060447
Azpetrol,Quba,"Quba rayonu, Quba şəhəri, Heydər Əliyev prospekti, AZ 4001",Quba,41.36367,48.54838,(023) 336-00-33,Avtoyuma; Azpetrol kartlarına xidmət; Bank kartlarına xidmət; Elektromobillərin doldurma xidməti; Kafe; YDM; Ödəmə terminalları,328,,https://qnela1.azpetrol.com/uploads/image_54bc452090.jpg,https://www.azpetrol.com/service-network,2025-12-17T14:50:24.060447
Azpetrol,Zaqatala,"Zaqatala rayonu, Zaqatala şəhəri, Fikrət Əmirov küçəsi, AZ 6200",Zaqatala,41.6313,46.62086,(024) 224-00-30,Avtoyuma; Azpetrol kartlarına xidmət; Bank kartlarına xidmət; Kafe; YDM,331,,https://qnela1.azpetrol.com/uploads/image_f109a08d73.jpg,https://www.azpetrol.com/service-network,2025-12-17T14:50:24.060447
Azpetrol,Şəki,"Şəki rayonu, Göybulaq, Şəki-Yevlax şossesi, AZ 5507",Şəki,41.06429,47.14229,(024) 243-82-25,Avtoyuma; Azpetrol kartlarına xidmət; Bank kartlarına xidmət; Kafe; Motel; YDM; Ödəmə terminalları,334,,https://qnela1.azpetrol.com/uploads/image_b2049d303d.jpg,https://www.azpetrol.com/service-network,2025-12-17T14:50:24.060447
Azpetrol,Əhmədli,"Bakı şəhəri, Xətai rayonu, Babək prospekti və Məhəmməd Hadi küçələrinin kəsişməsi 2316-cı məhəllə, AZ 1142",Bakı,40.39463,49.95432,(012) 376-41-31,Azpetrol kartlarına xidmət; Bank kartlarına xidmət; Bankomat; Kafe; YDM,337,,https://qnela1.azpetrol.com/uploads/image_821c5b81be.jpg,https://www.azpetrol.com/service-network,2025-12-17T14:50:24.060447
Azpetrol,Şirvan,"Şirvan şəhəri, Heydər Əliyev prospekti, AZ 1801",Şirvan,39.95408,48.93597,(021) 215-04-24,Avtoyuma; Azpetrol kartlarına xidmət; Bank kartlarına xidmət; Kafe; YDM; Ödəmə terminalları,340,,https://qnela1.azpetrol.com/uploads/image_a9082adb68.jpg,https://www.azpetrol.com/service-network,2025-12-17T14:50:24.060447
Azpetrol,İmişli,"İmişli rayonu, Qaradonlu kəndi, AZ 3022",İmişli,39.79006,48.06724,(021) 243-86-58,Avtoyuma; Azpetrol kartlarına xidmət; Bank kartlarına xidmət; Bankomat; Elektromobillərin doldurma xidməti; Kafe; YDM,343,,https://qnela1.azpetrol.com/uploads/image_33f3ee8d60.jpg,https://www.azpetrol.com/service-network,2025-12-17T14:50:24.060447
Azpetrol,Mingəçevir,"Yevlax rayonu, Mingəçevir şəhəri, Gəncə şossesi 7, AZ 4500",Yevlax,40.77045,47.03261,(024) 278-26-00,Avtoyuma; Azpetrol kartlarına xidmət; Bank kartlarına xidmət; Elektromobillərin doldurma xidməti; Kafe; Motel; YDM,346,,https://qnela1.azpetrol.com/uploads/image_5cb7bd32b8.jpg,https://www.azpetrol.com/service-network,2025-12-17T14:50:24.060447
Azpetrol,Lənkəran,"Lənkəran rayonu, Lənkəran şəhəri, Digah, AZ 4243",Lənkəran,38.77317,48.82861,(025) 253-27-42,Avtoyuma; Azpetrol kartlarına xidmət; Bank kartlarına xidmət; Kafe; YDM,349,,https://qnela1.azpetrol.com/uploads/image_3623067502.jpg,https://www.azpetrol.com/service-network,2025-12-17T14:50:24.060447
Azpetrol,Bakixanov,"Bakı şəhəri, Nizami rayonu, Rüstəm Rüstəmov küçəsi ev 2524-cü məhəllə, AZ 1118",Bakı,40.41376,49.95193,(012) 520-69-27,Avtomarket; Avtoyuma; Azpetrol kartlarına xidmət; Bank kartlarına xidmət; Elektromobillərin doldurma xidməti; Kafe; YDM; Ödəmə terminalları,352,,https://qnela1.azpetrol.com/uploads/image_df5e3742f8.jpg,https://www.azpetrol.com/service-network,2025-12-17T14:50:24.060447
Azpetrol,Balakən,"Balakən rayonu, Balakən şəhəri, Heydər Əliyev prospekti, AZ 0800",Balakən,41.70304,46.4282,(024) 295-53-13,Avtoyuma; Azpetrol kartlarına xidmət; Bank kartlarına xidmət; Bankomat; Kafe; Motel; YDM,355,,https://qnela1.azpetrol.com/uploads/image_1af1670c7f.jpg,https://www.azpetrol.com/service-network,2025-12-17T14:50:24.060447
Azpetrol,Qusar-SDK,"Qusar rayonu, Samur ŞTQ, AZ 3831",Qusar,41.44162,48.46449,(023) 389-03-01,Avtoyuma; Azpetrol kartlarına xidmət; Bank kartlarına xidmət; Bankomat; Elektromobillərin doldurma xidməti; Kafe; Motel; YDM; Ödəmə terminalları,358,,https://qnela1.azpetrol.com/uploads/image_9db29a7c37.jpg,https://www.azpetrol.com/service-network,2025-12-17T14:50:24.060447
Azpetrol,Astara,"Astara rayonu, Astara şəhəri, Heydər Əliyev prospekti 24, AZ 0701",Astara,38.47304,48.86873,(025) 225-41-99,Avtoyuma; Azpetrol kartlarına xidmət; Bank kartlarına xidmət; Kafe; YDM; Ödəmə terminalları,361,,https://qnela1.azpetrol.com/uploads/image_5ecb7a32d6.jpg,https://www.azpetrol.com/service-network,2025-12-17T14:50:24.060447
Azpetrol,Bərdə,"Bərdə rayonu, Bərdə şəhəri, Bakı küçəsi, AZ 0900",Bərdə,40.37563,47.13492,(020) 205-85-91,Avtoyuma; Azpetrol kartlarına xidmət; Bank kartlarına xidmət; Bankomat; Kafe; YDM; Ödəmə terminalları,364,,https://qnela1.azpetrol.com/uploads/image_16e8b028a0.jpg,https://www.azpetrol.com/service-network,2025-12-17T14:50:24.060447
Azpetrol,Gəncə,"Gəncə şəhəri, Nəriman Nərimanov prospekti, Bakı-Gəncə şossesi, AZ 2002",Gəncə,40.68478,46.40501,(022) 268-37-00,Azpetrol kartlarına xidmət; Bank kartlarına xidmət; Elektromobillərin doldurma xidməti; Kafe; YDM,367,,https://qnela1.azpetrol.com/uploads/image_d4d2f2bf71.jpg,https://www.azpetrol.com/service-network,2025-12-17T14:50:24.060447
Azpetrol,Dərnəgül,"Bakı şəhəri, Nərimanov rayonu, Ziya Bünyadov prospekti, AZ 1069",Bakı,40.41788,49.86362,(012) 564-65-89,Azpetrol kartlarına xidmət; Bank kartlarına xidmət; Kafe; YDM,370,,https://qnela1.azpetrol.com/uploads/image_096a3fca5b.jpg,https://www.azpetrol.com/service-network,2025-12-17T14:50:24.060447
Azpetrol,Babək,"Bakı şəhəri, Nizami rayonu, Babək prospekti, ev 2276-77, AZ 1142",Bakı,40.39118,49.90804,(012) 480-50-18,Azpetrol kartlarına xidmət; Bank kartlarına xidmət; Bankomat; CNG qaz (Metan); Elektromobillərin doldurma xidməti; Kafe; YDM; Ödəmə terminalları,373,,https://qnela1.azpetrol.com/uploads/image_0ca717fe39.jpg,https://www.azpetrol.com/service-network,2025-12-17T14:50:24.060447
Azpetrol,Maştağa,"Bakı şəhəri, Sabunçu rayonu, Maştağa ŞTQ, Maştağa qəsəbəsi AZ 1039",Bakı,40.50517,49.97392,(050) 243-61-52,Avtoyuma; Azpetrol kartlarına xidmət; Bank kartlarına xidmət; Kafe; YDM,376,,https://qnela1.azpetrol.com/uploads/image_4466016331.jpg,https://www.azpetrol.com/service-network,2025-12-17T14:50:24.060447
Azpetrol,Şabran,"Bakı şəhəri, Binəqədi rayonu, Binəqədi şossesinin şərq hissəsi, AZ 1117",Bakı,40.44808,49.84401,(012) 412-74-65,Azpetrol kartlarına xidmət; Bank kartlarına xidmət; Bankomat; Elektromobillərin doldurma xidməti; Kafe; YDM,379,,https://qnela1.azpetrol.com/uploads/image_fb22adfad0.jpg,https://www.azpetrol.com/service-network,2025-12-17T14:50:24.060447
Azpetrol,Nobel,"Bakı şəhəri, Xətai rayonu, 8 Noyabr prospekti 1240-cı məhəllə, AZ 1026",Bakı,40.37887,49.88272,(012) 555-63-02,Avtoyuma; Azpetrol kartlarına xidmət; Bank kartlarına xidmət; Bankomat; Elektromobillərin doldurma xidməti; Kafe; YDM; Ödəmə terminalları,382,,https://qnela1.azpetrol.com/uploads/image_0570aa283f.jpg,https://www.azpetrol.com/service-network,2025-12-17T14:50:24.060447
Azpetrol,Salyan,"Salyan rayonu, Bakı-Astara yolu 134 km, AZ 5200",Salyan,39.57896,48.96917,(021) 255-36-61,Avtoyuma; Azpetrol kartlarına xidmət; Bank kartlarına xidmət; Bankomat; Kafe; YDM; Ödəmə terminalları,385,,https://qnela1.azpetrol.com/uploads/image_ed33547941.jpg,https://www.azpetrol.com/service-network,2025-12-17T14:50:24.060447
